"id","last_updated","kaycode","full_name","prev_id","sex","birthdate","status","mom","dad","number_littermates","litrank","eartag","notes","entered_by"
"chle",2017-01-25,"680","chile",NA,"m",2012-10-04,"r","hel",NA,"1","1",NA,NA,NA
"chm",2015-01-15,NA,"champagne",NA,"m",2004-06-10,"r","hml",NA,"1","1",NA,"talek east; shared dfs with sia",NA
"chmp",2007-04-20,"2006","champ",NA,"m",NA,"r",NA,NA,NA,NA,NA,"amboseli",NA
"chn",2007-04-20,"2018","chanel",NA,"f",NA,"r",NA,NA,NA,NA,NA,"amboseli",NA
"chna",2014-12-03,NA,"chania",NA,"u",2005-12-07,"r","chw",NA,"0",NA,NA,"talek east",NA
"chnt",NA,NA,"chestnut",NA,"m",2004-04-01,"r","chip",NA,"1","2",NA,NA,NA
"chob",2017-11-14,"328","chobe",NA,"m",1999-11-30,"r","par",NA,"0",NA,NA,"talek east. dengrad calced by pat",NA
"choc",2016-07-18,NA,"chocolate",NA,"m",1988-12-10,"r","79",NA,"1","2",NA," dengrad calced by pat",NA
"chol",2012-05-03,NA,"cholera",NA,NA,2010-11-09,"r","mrl",NA,"2",NA,NA,NA,NA
"chow",NA,NA,"clam chowder",NA,"f",2017-09-19,"r","soup",NA,"1",NA,NA,NA,NA
"chpa",2017-02-04,"1273","chupacabra",NA,"m",2016-10-08,"r","clay",NA,"1","2",NA,NA,NA
"chq",2018-09-07,NA,"cheesy quiche","shelley","f",2017-12-03,"r","tgpi",NA,NA,NA,NA,"talek west",NA
"chr",2008-03-26,NA,"cherokee",NA,"u",1994-01-10,"r","coch",NA,"1",NA,NA," dengrad calced by pat",NA
"chrd",2018-09-17,NA,"charade",NA,"u",2008-11-01,"r","jule",NA,"0",NA,NA,NA,NA
"chrm",2018-07-23,"418","charm",NA,"f",NA,"r",NA,NA,NA,NA,"418","fnd 6/16/2002, likely died ~6/11/2002 charm and ch",NA
"chrs",2015-05-07,NA,"cheers",NA,"m",NA,"r","chrm?",NA,NA,NA,NA,NA,NA
"chrt",2015-05-06,NA,"candy heart","valentine = cub name",NA,2010-05-26,"r",NA,NA,NA,NA,NA,"unknown cub, could be prfl's sib",NA
"chry",2015-05-06,NA,"cherry garcia",NA,NA,2010-01-01,"r","flfy",NA,"1",NA,NA,NA,NA
"chs1",NA,NA,"chesspiece1",NA,"u",NA,"i",NA,NA,NA,NA,NA,NA,NA
"chs2",NA,NA,"chesspiece2",NA,"u",NA,"i",NA,NA,NA,NA,NA,NA,NA
"chs3",NA,NA,"chesspiece3",NA,"u",NA,"i",NA,NA,NA,NA,NA,NA,NA
"chs4",NA,NA,"chesspiece4",NA,"u",NA,"i",NA,NA,NA,NA,NA,NA,NA
"chs5",NA,NA,"chesspiece5",NA,"u",NA,"i",NA,NA,NA,NA,NA,NA,NA
"chst",2015-05-26,NA,"chester",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"chsy",2017-01-23,NA,"chipsy",NA,"u",2015-12-22,"r","neon",NA,"1",NA,NA,NA,NA
"chun",NA,"2070","chung",NA,"m",2004-10-30,"r","mla",NA,NA,NA,NA,"amboseli",NA
"chur",2017-11-01,NA,"churro","pick pocket & limp","u",2014-07-19,"r","styr",NA,"1",NA,NA,NA,NA
"chut",2007-10-02,"1082","chutney","pink","m",2007-11-15,"r","clov",NA,NA,NA,NA,"flat top r ear; r&l b scoops",NA
"chw",2017-03-10,"298","chewbacca",NA,"f",1999-03-19,"r","sein","bp","0",NA,NA,"talek east. dengrad calced by pat, other.kaycodes:",NA
"chwy",2015-06-12,NA,"chewbacca","pale","u",2014-07-31,"r","et",NA,"0",NA,NA,NA,NA
"chy",2018-03-07,"26","cheyenne",NA,"m",1989-10-14,"r","coch",NA,"1","2",NA," dengrad calced by pat",NA
"chzd",2018-09-07,NA,"charizard",NA,"m",2017-08-31,"r","mgta",NA,"1",NA,NA,"main doc",NA
"cici",2017-07-14,"1354","chi chi",NA,"f",2015-12-16,"r","alfe",NA,"0",NA,NA,NA,NA
"cida",2014-12-03,"729","cicada",NA,"m",2003-08-07,"r","coo",NA,NA,NA,NA,NA,NA
"cin",2016-11-17,NA,"cincinnati",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"cina",2018-08-03,NA,"jacinta hotel","paul",NA,2017-10-27,"r","neon",NA,"1","2",NA,"main doc",NA
"cino",2015-11-16,"2031","cappuccino",NA,"f",2003-10-27,"r","tals",NA,NA,NA,NA,"amboseli",NA
"cir",2016-07-15,NA,"circle",NA,"u",2013-10-02,"r",NA,NA,NA,NA,NA,"mom likely died in april 2013 poisoning; cir starv",NA
"circ",2014-10-22,NA,"circus circus",NA,"u",2012-07-22,"r","taj",NA,"1","2",NA,"dbw, dob adjusted when calculating mom's reproduct",NA
"cis",NA,NA,"crimson",NA,NA,2005-01-01,"r","cray",NA,NA,NA,NA,"amboseli",NA
"cj",2015-05-06,NA,"casey jones",NA,NA,2011-12-12,"r","tcy",NA,NA,NA,NA,NA,NA
"cla",2008-03-26,"3","clara",NA,"f",1989-05-15,"r","xs",NA,"1","1",NA," dengrad calced by pat",NA
"clar",2015-05-06,"361","clair",NA,"f",NA,"r","arw",NA,NA,NA,"368","darted 7/10/07, other.kaycodes:#816",NA
"clay",2015-04-18,"1121","claymore",NA,"f",2013-01-23,"r","pike",NA,"0",NA,NA,NA,NA
"cldr",2017-10-25,NA,"cylinder",NA,"u",2014-04-30,"r",NA,NA,NA,NA,NA,"unknown cub/sub seen near tangawizi den; died befo",NA
"clem",2018-08-02,NA,"clementine",NA,NA,2017-01-31,"r","lyco",NA,"1","1",NA,"pond",NA
"clev",2014-06-13,NA,"clever girl",NA,"f",2013-10-24,"r","trex",NA,"1","2",NA,NA,NA
"clif",2015-09-15,NA,"heathcliff",NA,"u",2011-08-27,"r","ink",NA,"1","2",NA,"dbw natal den=kolding den",NA
"cloe",NA,"314","cloe",NA,"f",NA,"r",NA,NA,NA,NA,NA,NA,NA
"clou",2017-10-25,"696","cindy lou who","peaches = cub name","m",2012-11-10,"r","tpe",NA,"1",NA,NA,"body found being eaten by other cubs; mother likel",NA
"clov",2007-10-02,"1092","clovis",NA,"f",NA,"r",NA,NA,NA,NA,NA,"r & l b scoop",NA
"clrn",2017-01-23,"1303","chlorine",NA,"f",2015-04-26,"r","yog",NA,NA,NA,NA,"graduated on or before dfs",NA
"cltn",2016-02-01,"369","clinton",NA,"u",2004-11-10,"r","nav",NA,NA,NA,NA,NA,NA
"clty",2016-10-21,"1302","clarity",NA,"m",2015-06-30,"r","unk",NA,NA,NA,NA,"kcm hyena; graduated on or before dfs",NA
"clue",2018-08-02,NA,"clue",NA,NA,2016-06-28,"r","adon",NA,NA,NA,NA,NA,NA
"clus",2015-09-09,"1179","recluse",NA,"m",2014-10-08,"r","arba",NA,"1","1",NA,NA,NA
"clv",2007-10-02,NA,"clover",NA,"m",2008-03-15,"r","lfty",NA,NA,NA,NA,NA,NA
"cly",2008-03-26,NA,"clyde",NA,"u",1990-09-30,"r","sr",NA,"1","1",NA," dengrad calced by pat",NA
"clyd",2007-10-02,NA,"clydsdale","schmo","m",2008-01-01,"r","fnc",NA,NA,NA,NA,NA,NA
"cm",2015-05-06,"814","chunky monkey","homely = cub name","f",2007-03-10,"r","flfy",NA,NA,NA,NA,NA,NA
"cmbr",2013-05-30,NA,"cambridge",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"cmo",2015-04-27,"800","cheeky-monkey",NA,"f",NA,NA,NA,NA,NA,NA,"800",NA,NA
"cmta",2016-08-11,"360","carmencita","betty, zsa zsa","f",NA,"r",NA,NA,NA,NA,NA,"sba and ljc thought perhaps cmta is med's kid. the",NA
"cnas",2015-09-14,NA,"canasta",NA,"u",2011-07-04,"r","csby",NA,"1","1",NA,"dls changed by lju",NA
"cnbl",2018-08-15,NA,"cannon ball",NA,NA,2009-12-27,"r","peeb",NA,NA,NA,NA,NA,NA
"cnet",2016-07-18,"713","clarinet",NA,"m",2001-08-12,"r","hem",NA,"0",NA,NA,"talek east. grad date approximate - not seen after",NA
"cns",2016-11-18,NA,"cut-nose",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"cnst",2014-12-16,NA,"constantinople",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"cnt",2008-03-26,NA,"cent",NA,"u",1997-03-24,"r","gol",NA,"1",NA,NA," dengrad calced by pat",NA
"cnti",2016-07-21,"714","cianti",NA,"f",2002-05-15,"r","hml",NA,"1",NA,NA,"talek east; dengrad calced by pat; on dfs seen as ",NA
"cob",2015-01-14,"2085","colby",NA,"u",2005-04-23,"r","im",NA,NA,NA,NA,"amboseli; project ended, cob didn't necessarily di",NA
"coch",2016-07-21,"25","cochise",NA,"f",1985-02-01,"r",NA,NA,NA,NA,NA,NA,NA
"coco",NA,"778","coco",NA,"f",NA,"r",NA,NA,NA,NA,NA,"darted on croton hill",NA
"coel",2007-10-02,NA,"coelacanth",NA,"f",2010-08-31,"r","koi",NA,"1","1",NA,NA,NA
"cokl",2015-09-08,"1151","cock a doodle doo",NA,"m",2014-07-15,"r","ring",NA,"1","1",NA,"we don't know if cokl was dominant to  nmn but aft",NA
"col",NA,"2024","colobus",NA,"m",2003-07-05,"r","inca",NA,NA,NA,NA,"amboseli",NA
"colb",2007-10-02,NA,"colby",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"coli",2014-06-18,NA,"cauliflower",NA,NA,2013-09-22,"r","fman",NA,"1",NA,NA,NA,NA
"colo",2015-09-15,"1035","coloseum",NA,"m",2010-09-09,"r","joni",NA,"1",NA,NA,NA,NA
"cols",2015-05-06,NA,"colossus","temple, clown= cub name",NA,2010-10-15,"r","pot",NA,"1",NA,NA,NA,NA
"colt",2012-05-02,NA,"coltrane",NA,NA,2009-05-09,"r","peeb",NA,"1","1",NA,NA,NA
"com",2015-04-21,"883","combat",NA,"f",2000-11-04,"r","atar",NA,"1",NA,NA,NA,NA
"con",NA,NA,"conrad",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"cons",2007-10-02,NA,"conspiracy",NA,"m",2008-10-01,"r","gwd",NA,NA,NA,NA,NA,NA
"cont",2015-09-17,"1081","count",NA,"m",2009-08-09,"r","bart",NA,"0",NA,NA,NA,NA
"coo",2015-04-27,"272","cookie",NA,"f",1998-12-03,"r","kip","tz","1","1","357","talek east. dengrad calced by pat",NA
"cook",2015-06-17,NA,"cookie monster",NA,NA,2010-12-19,"r","cm",NA,NA,NA,NA,NA,NA
"coop",2015-05-07,NA,"cooper",NA,"u",2002-11-06,"r","wnd",NA,"1","2",NA,NA,NA
"cop",NA,NA,"copper",NA,"u",2002-05-07,"r","ath",NA,NA,NA,NA,"on the night of 7/22/02, ath seen groaning into de",NA
"corc",NA,"784","atucorc",NA,"m",NA,NA,NA,NA,NA,NA,NA,"status=emarti hill",NA
"cori",2018-08-14,NA,"coreidae",NA,"u",2018-01-01,"r","snug",NA,NA,NA,NA,NA,NA
"cous",2016-07-19,"728","cousteau",NA,"m",2003-03-03,"r","ali",NA,NA,NA,NA," dengrad calced by pat; disperset to talek east",NA
"couv",2017-01-23,"1318","vancouver","al525","m",NA,"i",NA,NA,NA,NA,NA,"other.kaycodes:#1325",NA
"cowb",2016-12-13,NA,"cowboy",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"cp",2007-10-02,NA,"chick pea",NA,"f",NA,"r",NA,NA,NA,NA,NA,NA,NA
"cpa",2017-03-13,"262","cassiopeia",NA,"m",1998-11-18,"r","sx","gob","0",NA,NA,"talek west. dengrad calced by pat",NA
"cpal",2015-09-17,NA,"ceasars palace",NA,"u",2012-02-03,"r","taj",NA,"0",NA,NA,"dbw",NA
"cplx",2018-08-14,NA,"complex",NA,NA,2017-05-07,"r",NA,NA,NA,NA,NA,"kcm",NA
"cpr",NA,NA,"casper",NA,"m",NA,"t",NA,NA,NA,NA,NA,"m? prozac?",NA
"cpri",2014-06-18,NA,"jordan capri",NA,NA,2013-11-30,"r","tud",NA,"1",NA,NA,NA,NA
"cr",2016-07-21,"108","cratchet",NA,"f",1993-08-15,"r","ot",NA,"1","1",NA,"dengrad calced by pat",NA
"cray",2007-04-20,"2004","crayola",NA,"f",NA,"r",NA,NA,NA,NA,NA,"amboseli",NA
"crc",NA,NA,"couric",NA,NA,NA,NA,NA,NA,NA,NA,NA,"amboseli",NA
"crdn",NA,"912","cruden",NA,"f",2004-10-27,"r","eco",NA,"0",NA,NA,NA,NA
"crdy",2016-06-07,"1214","corduroy",NA,"f",2014-11-17,"r","sau",NA,"1","2",NA,NA,NA
"crem",2017-12-06,"1346","cold stone creamery",NA,"f",2016-06-25,"r","gel",NA,"1","2",NA,NA,NA
"crg",2007-10-02,NA,"craig",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"crim",2015-09-15,"1154","smooth criminal",NA,"f",2012-09-18,"r","hkr",NA,"1",NA,NA,NA,NA
"crk",2016-07-18,NA,"crick",NA,"m",1997-06-27,"r","jb",NA,"1","2",NA," dengrad calced by pat",NA
"crkt",2015-05-06,NA,"crocket",NA,NA,2009-03-10,"r",NA,NA,NA,NA,NA,"unknown sub",NA
"crl",2015-05-06,NA,"coral",NA,"m",2007-09-15,"r","med",NA,NA,NA,NA,NA,NA
"crlk",2015-02-03,NA,"crater lake",NA,"u",2013-01-17,"r","sbl",NA,"1",NA,NA,NA,NA
"crln",2018-08-14,NA,"carlin",NA,"u",1994-07-04,"r","bsh",NA,"1",NA,NA," dengrad calced by pat",NA
"crms",2016-07-21,"617","crimson",NA,"f",2010-12-19,"r","mos",NA,"0",NA,NA,"kay approved death though body never found",NA
"croc",2016-08-11,NA,"crocs","shaggy","u",2015-11-19,"r","hex",NA,"1","1",NA,NA,NA
"cron",2014-12-24,NA,"cronus",NA,"u",2010-12-18,"r","mrph",NA,"1",NA,NA,NA,NA
"crs",2015-05-26,NA,"crs",NA,NA,NA,NA,NA,NA,NA,NA,NA,"shows up in only a handful of sessions. has no mom",NA
"crse",NA,NA,"cruise",NA,"m",NA,NA,NA,NA,NA,NA,NA,"amboseli",NA
"crst",2018-08-02,NA,"cristo redentor",NA,"m",2016-10-28,"r","hel",NA,"1","2",NA,"one of crst or ica was first confirmed on 12/10/20",NA
"crtm",2007-10-02,NA,"cartman",NA,"u",2011-03-19,"r","ao",NA,"1","2",NA,NA,NA
"cruz",2012-10-23,"1114","santa cruz",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"crvy",2016-06-15,NA,"curvy",NA,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cryp",2018-08-02,"970","cryptic",NA,"m",2015-06-30,"r","unk",NA,NA,NA,NA,"kcm hyena; graduated on or before dfs",NA
"csac",2016-07-19,"724","cusack",NA,"m",2003-05-01,"r","csn",NA,NA,NA,NA," dengrad calced by pat",NA
"csby",2007-10-02,"1166","cosby",NA,"f",2007-12-30,"r","spb",NA,NA,NA,NA,NA,NA
"csg",2016-11-17,NA,"corporal stripe guy",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"csh",2018-08-03,NA,"cash",NA,NA,2017-07-24,"r","gwiz",NA,"1",NA,NA,"kcm",NA
"csl",2016-07-21,NA,"c-slit",NA,"f",1984-09-01,"r","03",NA,NA,NA,NA,NA,NA
"csmo",2016-10-18,"1226","cosmos",NA,"m",2016-07-20,"r","hwk",NA,"1","2",NA,NA,NA
"csn",2017-03-13,"249","carson",NA,"f",1998-02-15,"r","bsh","fn","0",NA,NA,"talek east. dengrad calced by pat",NA
"csp",NA,NA,"caspian",NA,"u",1997-12-11,"r","jab",NA,"0",NA,NA," dengrad calced by pat; this cub is never seen and",NA
"cstz",2015-09-15,"1131","george costanza",NA,"m",2013-04-16,"r","logc",NA,"0",NA,NA,NA,NA
"csw",NA,NA,"crenshaw",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"ct",2016-11-18,NA,"cut-tail",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"cta",NA,"2043","cantina",NA,"f",NA,"r",NA,NA,NA,NA,NA,"amboseli",NA
"cten",2018-08-02,"573","cirriformia tentaculata",NA,"f",2013-12-20,"r","amaz",NA,"0",NA,NA,NA,NA
"ctln",2014-01-01,NA,"caitlin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctop",2007-10-02,NA,"carrot top",NA,"m",2009-11-30,"r","ao",NA,"1","2",NA,"small left a & b scoops",NA
"ctow",2016-11-17,NA,"capetown",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"ctp",2014-10-14,NA,"captain tightpants",NA,"u",2011-02-21,"r","mstl",NA,"1","1",NA,"dbw",NA
"ctz",2016-07-21,"758","cortez",NA,"f",2004-06-26,"r","ali",NA,"1","1",NA,NA,NA
"cubs",2012-08-06,NA,"unid cubs",NA,"u",NA,"r",NA,NA,NA,NA,NA,"per kay, non-individual entry to allow linking fro",NA
"cug",NA,NA,"curly u guy",NA,"m",NA,NA,NA,NA,NA,NA,NA,"not in camp hyena list; alien named in notes; ligh",NA
"cuj",2017-03-13,"251","cujo",NA,"m",1997-07-09,"r","kip",NA,"1","2",NA,"talek west. dengrad calced by pat",NA
"cuke",2015-05-20,NA,"cucumber",NA,"m",2013-01-26,"r","fman?",NA,NA,NA,NA,NA,NA
"cup",2015-11-13,"2063","cupid",NA,"m",NA,"i",NA,NA,NA,NA,NA,"amboseli",NA
"cupi",2018-08-03,"1333","ok cupid",NA,"f",2017-02-03,"r","lust",NA,"1","2",NA,"main doc",NA
"curs",2015-06-05,NA,"cursorial",NA,"f",2013-02-10,"r","rway",NA,"1",NA,NA,NA,NA
"cusc",2013-10-01,NA,"cusco",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"cust",2007-10-02,NA,"custer",NA,"f",2007-06-01,"r",NA,NA,NA,NA,NA,"two diagonal stripes on l shoulder",NA
"cut",NA,NA,"cutter",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"cvrt",2013-02-04,NA,"covert",NA,"u",2007-05-15,"r",NA,NA,NA,NA,NA,NA,NA
"cy",2016-02-01,"610","cy young",NA,"m",2010-10-30,"r","aqua",NA,"1","1",NA,"immigrated to talek east, other.kaycodes:#972",NA
"cyan",2012-02-19,NA,"cyanide",NA,"u",2010-11-08,"r","silk",NA,"2","2",NA,NA,NA
"cybr",2015-11-05,"563","cyberman",NA,"f",2013-09-20,"r","crms",NA,"0",NA,NA,"crms died in 2014 poisoning; cybr is orphan",NA
"cyc",NA,NA,"cyclops",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"cyn",NA,NA,"cayenne",NA,"m",2004-06-13,"r","rafi",NA,NA,NA,NA,"amboseli",NA
"cyp",2016-07-18,"290","cyprus",NA,"m",1999-05-13,"r","bern",NA,"1","1",NA," dengrad calced by pat",NA
"cyr",2016-11-18,"129","cyril",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"czar",2015-09-17,"1079","czar",NA,"m",2010-11-09,"r","bart",NA,"1","1",NA,NA,NA
"dag",2015-04-02,NA,"dagoretti",NA,NA,2010-11-14,"r","lu",NA,"1","1",NA,NA,NA
"dak",NA,"2087","dakota",NA,"f",2003-10-29,"r","fig",NA,NA,NA,NA,"amboseli",NA
"dal",2015-06-03,"359","dallas","am144, am142","m",NA,"i",NA,NA,NA,NA,"359","talek west. previous ids = am142 and am144",NA
"dali",2008-03-26,NA,"salvador dali",NA,"u",2001-09-28,"r","hg",NA,"0",NA,NA,"master list: name=dali, no disappeared date dengra",NA
"dalt",2015-09-15,NA,"dirty dalton",NA,"m",2013-01-14,"r","ink",NA,"1","2",NA,NA,NA
"dama",2016-10-18,NA,"lee adama",NA,"m",2016-06-11,"r","mtn",NA,"0",NA,NA,NA,NA
"dan",2016-07-18,NA,"dante",NA,"m",1999-12-15,"r","who",NA,NA,NA,NA,NA,NA
"dang",2015-09-17,"1183","padang",NA,"f",2014-09-11,"r","java",NA,"1","1",NA,NA,NA
"dar",2007-10-02,"1049","dar es salaam",NA,"m",NA,"i",NA,NA,NA,NA,NA,"r a nick; r b nick; l nipple ear",NA
"dara",2015-09-14,"1122","fal dara",NA,"f",2013-02-16,"r","saw",NA,"1","2",NA,NA,NA
"dark",2016-12-14,NA,"darky",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"darw",2016-07-18,"208","darwin",NA,"m",1996-07-01,"r","jb","fa","0",NA,NA,"talek west. dispersed to ft after disappearance da",NA
"dasy",2015-06-15,"588","daisy lang","peter = cub name",NA,2011-05-26,"r","mre",NA,NA,NA,NA,NA,NA
"dave",NA,"11","dave",NA,"m",1986-09-15,"r","27",NA,"1",NA,NA,NA,NA
"davo",2018-08-03,NA,"ser davos seaworth",NA,NA,2017-12-09,"r","bnt",NA,"1",NA,NA,"pond",NA
"dawa",2014-06-15,NA,"dawa",NA,"f",2013-12-07,"r","snap",NA,NA,NA,NA,NA,NA
"dawn",NA,NA,"the dawn treader",NA,"u",2017-11-23,"r","rumg",NA,NA,NA,NA,NA,NA
"day",2016-11-04,"317","daytona (am70)","am70","m",NA,"i",NA,NA,NA,NA,"317","talek east",NA
"db",2016-07-18,NA,"diamond butt",NA,"m",1987-10-01,"r","gw",NA,"0","1",NA,NA,NA
"dber",NA,"998","dberg",NA,"u",NA,"d",NA,NA,NA,NA,NA,NA,NA
"dbrs",NA,NA,"debeers",NA,NA,NA,NA,NA,NA,NA,NA,NA,"amboseli",NA
"dbt",2007-10-02,NA,"delbert",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"dc2",2008-03-26,NA,"dc2",NA,"u",1996-11-04,"r","ger",NA,"0",NA,NA,"talek east; dengrad calced by pat. cannot give a d",NA
"dcm",2008-04-01,NA,"diceman",NA,"m",NA,"t",NA,NA,NA,NA,NA,"m? prozac?",NA
"dcub",2008-03-26,"77","dead cub",NA,"f",1992-02-02,"r","bb","sy","1",NA,NA," dengrad calced by pat",NA
"dd",2016-07-18,"146","ding dong",NA,"m",1994-07-23,"r","dj","bag","1","2",NA,"talek east. dengrad calced by pat",NA
"ddma",2013-05-30,"674","dodoma","al416","m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"dds",2018-08-02,"1332","daisy dukes",NA,"f",2016-10-11,"r","tnks",NA,"0",NA,NA,NA,NA
"dean",2016-11-18,NA,"deano",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"deb",2016-07-21,"171","little debbie",NA,"f",1995-11-09,"r","dj","fa","1","1",NA," dengrad calced by pat",NA
"decm",2015-06-18,"520","decimeter",NA,"f",2013-01-12,"r","buar",NA,"1",NA,NA,NA,NA
"dee",2007-10-02,"1057","dee dee","romie/tracy","m",NA,"i",NA,NA,NA,NA,NA,"dfs is for south clan",NA
"dege",2016-09-08,"957","degemermat",NA,"m",2014-09-08,"r","wran",NA,"1",NA,NA,NA,NA
"dej",2007-10-02,"1006","derek joseph",NA,"m",NA,"i",NA,NA,NA,NA,NA,"r b notch",NA
"deja",2017-04-25,"1269","déjà vu",NA,"f",2016-05-14,"r","pol",NA,"1","2",NA,NA,NA
"del",2016-07-18,"273","dell/cinderella",NA,"m",1998-11-10,"r","wr","chas","1","2",NA,"talek east. dengrad calced by pat",NA
"delt",2016-11-16,NA,"delta",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"deni",2014-06-15,NA,"dennis the menace",NA,"u",2014-04-06,"r","ink",NA,"0",NA,NA,NA,NA
"des",2016-07-19,"756","descartes",NA,"m",2004-05-17,"r","mali",NA,"0",NA,NA,NA,NA
"desl",2014-12-18,NA,"diesel",NA,"f",2011-07-16,"r","ffl",NA,"1","1",NA,NA,NA
"det",NA,"734","detroit",NA,"m",NA,"i",NA,NA,NA,NA,NA,"talek west",NA
"deth",2014-06-15,"1155","death star",NA,"f",2013-10-16,"r","komo",NA,NA,"1",NA,"also an unid with this kay code, confirmed as al10",NA
"deu",NA,NA,"deuce",NA,NA,NA,NA,NA,NA,NA,NA,NA,"amboseli;lakeview clan",NA
"dfne",2015-05-06,"641","dafne","wigwam= cub name","f",2010-12-06,"r","cmta",NA,"1","2",NA,NA,NA
"dfy",2016-07-21,NA,"dragonfly",NA,"f",2002-05-10,"r","coo",NA,NA,NA,NA,"talek east; dengrad calced by pat",NA
"dg",NA,NA,"dodger",NA,"m",1990-03-22,"r","ot",NA,"1","2",NA," dengrad calced by pat",NA
"dga",2008-04-01,NA,"denga",NA,"m",NA,"t",NA,NA,NA,NA,NA,"prozac?",NA
"dgbl",2015-04-10,NA,"dodge ball",NA,NA,2013-06-28,"r","roh",NA,"1","2",NA,NA,NA
"dggr",2015-06-05,NA,"digger","inkbaby","f",2015-10-28,"r","ink",NA,"1","1",NA,NA,NA
"dh",2016-07-18,NA,"diamond head",NA,"m",1994-07-07,"r","jab",NA,"1","2",NA," dengrad calced by pat",NA
"dhar",NA,NA,"dirty harry",NA,"m",NA,"f",NA,NA,NA,NA,NA,NA,NA
"dhip",NA,NA,"dagger hip",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"dhu",NA,NA,"donahue",NA,"f",2004-05-25,"r","dte",NA,NA,NA,NA,"amboseli",NA
"dido",NA,"915","dido, but may be beny",NA,"m",NA,"r",NA,NA,NA,NA,NA,NA,NA
"dig",NA,NA,"driftwoood island guy",NA,"m",NA,"t",NA,NA,NA,NA,NA,"m? prozac?",NA
"digs",2007-10-02,"1048","diggory","yin yang","f",NA,"r",NA,NA,NA,NA,NA,"r a nick; r c/d slice, we do not know the source o",NA
"dil",2016-07-21,NA,"dill",NA,"f",2004-06-23,"r","whh",NA,"1","1",NA,NA,NA
"dilb",2012-12-13,NA,"dilbert",NA,"u",2010-11-11,"r","ink",NA,"1","2",NA,"dbw",NA
"dilf",2018-08-03,NA,"daffodil","colonel","m",2017-08-11,"r","maa",NA,"1",NA,NA,"main doc",NA
"din",NA,"458","dinghaan",NA,"m",NA,"t",NA,NA,NA,NA,"458","prozac?",NA
"ding",2016-11-09,NA,"dingleberry",NA,"m",NA,"i",NA,NA,NA,NA,NA,"talek east",NA
"dio",NA,"732","dio",NA,"f",NA,NA,NA,NA,NA,NA,NA,"status=emarti hill",NA
"dion",2016-07-21,"844","dion","cub=dos","f",2009-08-04,"r","mrph",NA,"0",NA,NA,"other.kaycodes:#845",NA
"disc",2017-02-04,NA,"discovery channel",NA,"f",2016-10-10,"r","rmon",NA,"1","1",NA,NA,NA
"diva",2017-04-25,"1249","diva",NA,"m",2016-05-14,"r","pol",NA,"1","1",NA,NA,NA
"divr",2015-06-05,NA,"devil diver","teeny","u",2015-10-21,"r","blg",NA,"1",NA,NA,NA,NA
"dix",2008-03-25,"228","dixon",NA,"u",NA,"d",NA,NA,NA,NA,NA,NA,NA
"dixi",2007-10-02,NA,"dixie",NA,"f",2007-04-01,"r",NA,NA,NA,NA,NA,NA,NA
"diz",2009-11-01,"882",NA,"runway","f",2006-12-24,"r","peeb",NA,"1","1",NA,NA,NA
"dj",2016-07-19,"30","diamond jim",NA,"f",1985-11-15,"r","n2",NA,NA,NA,NA,NA,NA
"djmn",2015-11-05,NA,"djamena","al447 and trophy (trph)","f",NA,"r",NA,NA,NA,NA,NA,"this hyena was mistakenly identified as an immigra",NA
"dk",2016-01-21,"544","donkey kong",NA,"f",2011-03-10,"r","cart",NA,"1",NA,NA,"no wean date - not enough data to calculate",NA
"dks",2018-09-26,"0","lkj",NA,NA,1986-04-03,"n",NA,NA,"0",NA,NA,NA,NA
"dleg",2016-12-13,NA,"dleg",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
